iter	Logloss
0	0.6263883452
1	0.568083244
2	0.5186311389
3	0.4781623996
4	0.4433856283
5	0.4125655203
6	0.3890464706
7	0.3671983957
8	0.34811381
9	0.3301222741
10	0.3158392817
11	0.3039527847
12	0.2919308746
13	0.2823927492
14	0.2737114514
15	0.2651873558
16	0.2590152356
17	0.2519469106
18	0.2470691971
19	0.2425774942
20	0.2373301664
21	0.2334631261
22	0.2289134303
23	0.225979521
24	0.2231154166
25	0.2202677874
26	0.2173243174
27	0.214454668
28	0.2126417498
29	0.2104057849
30	0.2083480067
31	0.2060148372
32	0.2044745544
33	0.2020501404
34	0.200694313
35	0.1995147812
36	0.1982318233
37	0.196676863
38	0.1954063626
39	0.1936548975
40	0.1924997827
41	0.1914077481
42	0.1903673801
43	0.1890145178
44	0.188181667
45	0.1870464846
46	0.1861772029
47	0.185145234
48	0.1844637182
49	0.1839074569
50	0.1833745972
51	0.1824893897
52	0.1815691464
53	0.1808392804
54	0.1799847797
55	0.1790819167
56	0.1782687482
57	0.17781709
58	0.1769893016
59	0.1764397137
60	0.1757698314
61	0.1751140095
62	0.1745015223
63	0.1736221133
64	0.1728486365
65	0.1722243459
66	0.1713286082
67	0.1705590612
68	0.1700929959
69	0.1696528826
70	0.1691686062
71	0.1686721302
72	0.1680427987
73	0.1677135472
74	0.1670193354
75	0.1664266333
76	0.1659621994
77	0.1655532804
78	0.1649543373
79	0.1645732444
80	0.1639567076
81	0.1633869837
82	0.1628218537
83	0.1623715436
84	0.1619707859
85	0.1614670017
86	0.1612039067
87	0.1607557963
88	0.1602905049
89	0.1597082988
90	0.1593555568
91	0.1589018867
92	0.1584556013
93	0.1581543602
94	0.1576006693
95	0.1574323501
96	0.1568583535
97	0.1566393446
98	0.1562789911
99	0.1560624714
100	0.1557068379
101	0.1553543424
102	0.1548090266
103	0.154494237
104	0.1542012342
105	0.1539815167
106	0.1536541309
107	0.1533198928
108	0.1530214269
109	0.1527478188
110	0.1523461323
111	0.1517860443
112	0.1513187359
113	0.1509160167
114	0.1507402732
115	0.1505580899
116	0.1502196817
117	0.1499938745
118	0.1496735483
119	0.1495033866
120	0.1493138018
121	0.1489379313
122	0.1486770199
123	0.1483198538
124	0.1480956232
125	0.1479375788
126	0.1477695962
127	0.1476735495
128	0.1473239966
129	0.1467889878
130	0.1465210987
131	0.1460633446
132	0.1457628616
133	0.1455074887
134	0.1452133843
135	0.1448828396
136	0.1445682169
137	0.1443347648
138	0.1441447596
139	0.1438711139
140	0.1437342208
141	0.1433678839
142	0.1430768127
143	0.1429376619
144	0.1428326111
145	0.1425355194
146	0.1423577739
147	0.1419574859
148	0.1416730673
149	0.1414927553
150	0.1412268713
151	0.1409502158
152	0.1406607616
153	0.1403272406
154	0.1401683234
155	0.1398531919
156	0.1396380975
157	0.1393186414
158	0.13908154
159	0.1388543469
160	0.1386457678
161	0.1382431012
162	0.1378989682
163	0.1375827272
164	0.1373494498
165	0.1371315127
166	0.1369863941
167	0.1366871111
168	0.1364113224
169	0.1361829994
170	0.135971593
171	0.135756387
172	0.1354811209
173	0.1352425502
174	0.1349843919
175	0.134740666
176	0.1345617355
177	0.1343635362
178	0.1341034693
179	0.1338330333
180	0.133672338
181	0.1334539042
182	0.1331981318
183	0.1330139186
184	0.1328511393
185	0.1326152378
186	0.1323607639
187	0.1321243934
188	0.1317690037
189	0.131458001
190	0.1312697314
191	0.1310718253
192	0.1308428491
193	0.1305922664
194	0.1303801279
195	0.1301470446
196	0.1299325831
197	0.1296532417
198	0.1294733922
199	0.129182748
200	0.1288141984
201	0.1286856581
202	0.1284599792
203	0.1281554671
204	0.1278855874
205	0.1275954026
206	0.1273925078
207	0.1271819698
208	0.1269149586
209	0.1267043425
210	0.126415115
211	0.1262827717
212	0.1260348009
213	0.1258602261
214	0.1256117505
215	0.1252899814
216	0.1249555842
217	0.1246953203
218	0.1244443029
219	0.1241998349
220	0.1240276581
221	0.1237777718
222	0.1235933746
223	0.1234231971
224	0.1231629472
225	0.1229396436
226	0.122713446
227	0.1226131033
228	0.1224212777
229	0.1222088419
230	0.1219657246
231	0.1217198827
232	0.1215062119
233	0.1212903855
234	0.1211762793
235	0.1209354315
236	0.1207556948
237	0.1205014726
238	0.1201777155
239	0.1200418845
240	0.1198548828
241	0.1196446242
242	0.1195073403
243	0.1193438688
