iter	Passed	Remaining
0	36	36880
1	63	31754
2	87	29200
3	112	28036
4	137	27380
5	156	25868
6	173	24682
7	192	23840
8	210	23231
9	234	23176
10	256	23019
11	272	22462
12	290	22028
13	307	21629
14	325	21389
15	343	21115
16	366	21182
17	382	20883
18	397	20543
19	414	20310
20	432	20173
21	450	20038
22	467	19855
23	484	19689
24	500	19515
25	515	19293
26	529	19099
27	547	19003
28	562	18849
29	581	18808
30	597	18679
31	613	18568
32	630	18471
33	650	18495
34	668	18430
35	683	18290
36	697	18163
37	714	18075
38	732	18053
39	750	18007
40	768	17971
41	786	17947
42	803	17875
43	820	17835
44	838	17787
45	855	17737
46	874	17725
47	891	17671
48	910	17662
49	927	17616
50	944	17576
51	963	17563
52	979	17496
53	995	17445
54	1012	17391
55	1075	18121
56	1109	18351
57	1128	18320
58	1143	18235
59	1158	18149
60	1173	18067
61	1189	17991
62	1206	17940
63	1222	17877
64	1237	17800
65	1254	17754
66	1270	17688
67	1285	17617
68	1301	17559
69	1317	17502
70	1335	17479
71	1355	17470
72	1374	17452
73	1389	17384
74	1407	17354
75	1423	17302
76	1439	17253
77	1454	17190
78	1470	17144
79	1487	17110
80	1504	17072
81	1522	17039
82	1539	17012
83	1557	16982
84	1577	16982
85	1594	16949
86	1613	16937
87	1632	16917
88	1649	16881
89	1664	16826
90	1679	16772
91	1695	16734
92	1711	16693
93	1728	16661
94	1751	16682
95	1767	16644
96	1783	16602
97	1800	16571
98	1817	16541
99	1835	16518
100	1852	16493
101	1869	16459
102	1887	16437
103	1906	16423
104	1924	16400
105	1942	16381
106	1961	16373
107	1979	16345
108	1998	16336
109	2015	16308
110	2033	16289
111	2052	16271
112	2072	16268
113	2091	16257
114	2108	16228
115	2125	16200
116	2143	16175
117	2161	16157
118	2178	16128
119	2194	16092
120	2212	16070
121	2229	16048
122	2245	16012
123	2262	15986
124	2279	15954
125	2295	15920
126	2312	15898
127	2330	15878
128	2349	15863
129	2366	15834
130	2380	15792
131	2397	15762
132	2412	15725
133	2426	15684
134	2442	15651
135	2458	15616
136	2474	15586
137	2489	15549
138	2504	15511
139	2520	15482
140	2536	15453
141	2553	15427
142	2574	15430
143	2592	15410
144	2609	15385
145	2625	15359
146	2640	15319
147	2655	15288
148	2670	15253
149	2686	15223
150	2702	15193
151	2719	15173
152	2736	15151
153	2752	15123
154	2768	15091
155	2783	15061
156	2799	15031
157	2816	15007
158	2831	14977
159	2849	14961
160	2866	14936
161	2881	14907
162	2899	14889
163	2914	14857
164	2929	14827
165	2946	14803
166	2961	14773
167	2976	14743
168	2995	14730
169	3012	14709
170	3027	14676
171	3043	14650
172	3062	14640
173	3079	14618
174	3095	14591
175	3113	14578
176	3132	14567
177	3152	14558
178	3172	14550
179	3196	14561
180	3223	14587
181	3248	14600
182	3275	14622
183	3294	14612
184	3316	14611
185	3342	14626
186	3366	14636
187	3385	14623
188	3404	14610
189	3424	14598
190	3444	14591
191	3466	14586
192	3484	14570
193	3502	14552
194	3523	14546
195	3544	14538
196	3567	14543
197	3585	14524
198	3605	14513
199	3624	14499
200	3652	14517
201	3675	14518
202	3701	14530
203	3722	14526
204	3747	14533
205	3774	14548
206	3798	14550
207	3827	14572
208	3852	14579
209	3879	14593
210	3904	14599
211	3925	14590
212	3946	14580
213	3971	14587
214	3992	14578
215	4013	14566
216	4037	14569
217	4057	14553
218	4074	14530
219	4092	14511
220	4109	14486
221	4127	14465
222	4145	14444
223	4164	14425
224	4185	14417
225	4202	14394
226	4219	14367
227	4235	14340
228	4251	14314
229	4268	14290
230	4285	14265
231	4306	14254
232	4323	14232
233	4339	14204
234	4355	14178
235	4371	14153
236	4387	14125
237	4403	14099
238	4418	14070
239	4434	14043
240	4450	14017
241	4465	13986
242	4481	13961
243	4498	13936
244	4518	13923
245	4533	13895
246	4548	13866
247	4565	13843
248	4585	13830
249	4602	13806
250	4619	13783
251	4637	13765
252	4658	13753
253	4678	13740
254	4696	13720
255	4715	13705
256	4734	13686
257	4751	13664
258	4768	13643
259	4786	13624
260	4810	13619
261	4830	13607
262	4851	13596
263	4874	13589
264	4893	13572
265	4910	13549
266	4932	13539
267	4950	13520
268	4969	13503
269	4984	13477
270	5001	13453
271	5020	13438
272	5038	13416
273	5056	13397
274	5071	13371
275	5087	13344
276	5102	13318
277	5118	13293
278	5133	13266
279	5150	13244
280	5165	13216
281	5181	13191
282	5203	13182
283	5221	13164
284	5237	13139
285	5253	13115
286	5268	13088
287	5283	13062
288	5302	13044
289	5320	13026
290	5339	13009
291	5355	12985
292	5372	12964
293	5387	12936
294	5403	12912
295	5417	12884
296	5432	12857
297	5446	12831
298	5460	12802
299	5478	12782
300	5494	12758
301	5509	12734
302	5529	12718
303	5547	12700
304	5563	12677
305	5579	12653
306	5594	12629
307	5611	12606
308	5625	12581
309	5641	12557
310	5657	12533
311	5672	12508
312	5689	12488
313	5706	12466
314	5722	12444
315	5740	12425
316	5760	12411
317	5776	12388
318	5794	12369
319	5810	12348
320	5828	12328
321	5846	12309
322	5863	12289
323	5881	12272
324	5901	12256
325	5919	12238
326	5940	12225
327	5961	12213
328	5981	12198
329	6000	12183
330	6030	12188
331	6053	12180
332	6083	12184
333	6122	12207
334	6147	12202
335	6167	12188
336	6195	12189
337	6225	12193
338	6256	12198
339	6293	12216
340	6328	12229
341	6364	12245
342	6400	12259
343	6442	12285
344	6469	12282
345	6493	12273
346	6522	12273
347	6543	12260
348	6561	12238
349	6576	12212
350	6591	12187
351	6606	12161
352	6622	12137
353	6637	12111
354	6652	12086
355	6667	12061
356	6684	12038
357	6701	12017
358	6717	11994
359	6732	11969
360	6746	11942
361	6764	11921
362	6780	11898
363	6795	11873
364	6813	11853
365	6830	11832
366	6845	11806
367	6861	11784
368	6879	11763
369	6897	11744
370	6916	11726
371	6934	11706
372	6950	11683
373	6964	11657
374	6978	11631
375	6995	11609
376	7012	11589
377	7032	11572
378	7047	11548
379	7063	11524
380	7078	11500
381	7094	11478
382	7113	11459
383	7130	11438
384	7146	11416
385	7164	11396
386	7183	11378
387	7202	11360
388	7219	11339
389	7241	11326
390	7261	11310
391	7283	11296
392	7305	11283
393	7324	11265
394	7344	11248
395	7365	11234
396	7386	11218
397	7411	11209
398	7432	11195
399	7457	11185
400	7478	11171
401	7500	11157
402	7518	11137
403	7538	11121
404	7557	11102
405	7577	11086
406	7596	11068
407	7616	11051
408	7636	11035
409	7653	11014
410	7672	10995
411	7692	10978
412	7709	10957
413	7728	10939
414	7746	10919
415	7766	10902
416	7784	10883
417	7804	10866
418	7822	10847
419	7841	10829
420	7862	10813
421	7887	10803
422	7906	10785
423	7923	10763
424	7941	10743
425	7957	10722
426	7977	10705
427	7999	10690
428	8017	10671
429	8037	10654
430	8056	10636
431	8074	10616
432	8095	10600
433	8115	10583
434	8132	10563
435	8149	10541
436	8165	10520
437	8182	10498
438	8202	10481
439	8218	10460
440	8234	10437
441	8254	10420
442	8274	10403
443	8289	10380
444	8306	10359
445	8321	10337
446	8337	10315
447	8354	10293
448	8371	10272
449	8387	10251
450	8407	10234
451	8423	10212
452	8440	10192
453	8456	10170
454	8473	10150
455	8489	10127
456	8503	10103
457	8519	10082
458	8543	10069
459	8563	10052
460	8579	10031
461	8596	10010
462	8612	9989
463	8630	9969
464	8645	9947
465	8663	9927
466	8682	9909
467	8707	9898
468	8728	9881
469	8745	9862
470	8760	9839
471	8775	9816
472	8791	9795
473	8807	9773
474	8827	9757
475	8845	9737
476	8866	9721
477	8885	9703
478	8900	9680
479	8915	9658
480	8932	9638
481	8949	9618
482	8968	9599
483	8986	9580
484	9005	9562
485	9023	9543
486	9044	9527
487	9068	9514
488	9086	9495
489	9104	9476
490	9122	9456
491	9141	9439
492	9159	9419
493	9174	9396
494	9189	9375
495	9207	9355
496	9223	9335
497	9243	9317
498	9265	9302
499	9280	9280
500	9295	9258
501	9309	9235
502	9324	9213
503	9340	9192
504	9358	9172
505	9380	9157
506	9396	9137
507	9413	9116
508	9430	9096
509	9447	9076
510	9465	9057
511	9481	9037
512	9496	9015
513	9515	8997
514	9534	8979
515	9556	8963
516	9573	8943
517	9588	8922
518	9604	8900
519	9621	8881
520	9638	8861
521	9656	8842
522	9673	8823
523	9695	8807
524	9717	8792
525	9737	8775
526	9757	8757
527	9774	8737
528	9793	8719
529	9809	8698
530	9825	8678
531	9842	8658
532	9862	8640
533	9883	8624
534	9901	8606
535	9917	8585
536	9934	8565
537	9950	8545
538	9968	8526
539	9989	8509
540	10008	8491
